#Sample	unique_to_file_1	unique_to_file_1_snp	unique_to_file_1_indel	unique_to_file_2	unique_to_file_2_snp	unique_to_file_2_indel	both_missing	common_context	common_context_snp	common_context_indel	common_context_discordant_id	called_and_same	called_and_same_hom_ref	called_and_same_hom_var	called_and_same_het	called_but_discordant	called_but_discordant_hom1_het2	called_but_discordant_het1_hom2	called_but_discordant_hom1_hom2	called_but_discordant_het1_het2
B00G7L8	43551	15318	27540	22527	10743	11784	2283	558816	535039	22535	55079	555961	487183	27120	41658	2855	673	1839	158	185
B00G7KV	43735	15523	27529	22519	10738	11781	2248	558675	534907	22532	55088	555767	487033	26805	41929	2908	717	1866	143	182
B00G7L7	43717	15510	27523	22433	10735	11698	2263	558764	534984	22532	55095	555704	487634	26750	41320	3060	728	1978	148	206
B00G7KU	43841	15609	27544	22495	10737	11758	2160	558681	534886	22540	55091	555715	486988	27578	41149	2966	777	1845	162	182
B00G7L6	43612	15427	27503	22507	10748	11759	2288	558770	534988	22540	55051	555804	486812	27301	41691	2966	776	1882	149	159
B00G7LX	43702	15487	27527	22425	10722	11703	2664	558386	534669	22483	54988	555423	487125	26612	41686	2963	811	1789	187	176
B00G7LV	43610	15399	27512	22529	10750	11779	2324	558714	534979	22515	55055	555718	487109	26897	41712	2996	737	1921	155	183
B00G7LW	43778	15565	27515	22506	10742	11764	2507	558386	534672	22484	55011	555432	486813	26615	42004	2954	768	1849	173	164
B00G7LT	43766	15533	27547	22566	10736	11830	2129	558716	534979	22493	55022	555783	487302	27215	41266	2933	705	1905	151	172
B00G7LU	43554	15382	27480	22430	10693	11737	2609	558584	534849	22506	55038	555613	487165	26516	41932	2971	704	1893	176	198
B00G7LR	43679	15489	27506	22477	10741	11736	2220	558801	535018	22532	55070	555750	488190	26941	40619	3051	792	1942	147	170
B00G7LS	43593	15427	27476	22457	10725	11732	2661	558466	534776	22451	54978	555533	486810	26931	41792	2933	773	1836	142	182
B00G7LP	43610	15423	27497	22554	10751	11803	2504	558509	534786	22492	55001	555541	486506	27500	41535	2968	717	1925	154	172
