#Sample	unique_to_file_1	unique_to_file_1_snp	unique_to_file_1_indel	unique_to_file_2	unique_to_file_2_snp	unique_to_file_2_indel	both_missing	common_context	common_context_snp	common_context_indel	common_context_discordant_id	called_and_same	called_and_same_hom_ref	called_and_same_hom_var	called_and_same_het	called_but_discordant	called_but_discordant_hom1_het2	called_but_discordant_het1_hom2	called_but_discordant_hom1_hom2	called_but_discordant_het1_het2
B00G72G	10493	4502	5733	23936	16223	7713	1874	591671	545779	43625	50360	588259	514973	28161	45125	3412	2128	531	377	376
B00G72Y	10568	4538	5771	24052	16313	7739	1393	591961	546036	43643	50366	588533	514883	27303	46347	3428	2164	536	371	357
B00G72X	10492	4508	5722	24052	16337	7715	1553	591877	545973	43643	50347	588367	515845	27833	44689	3510	2266	529	355	360
B00G739	10435	4459	5714	23908	16221	7687	2116	591515	545650	43592	50302	588117	514985	27005	46127	3398	2145	526	384	343
B00G72Z	10560	4547	5763	24045	16294	7751	1201	592168	546221	43669	50398	588699	515597	27636	45466	3469	2255	514	363	337
B00G72Q	10548	4533	5759	23945	16233	7712	1371	592110	546144	43688	50417	588660	514936	27283	46441	3450	2195	530	363	362
B00G732	10362	4441	5664	23965	16282	7683	2688	590959	545143	43554	50206	587731	515114	27191	45426	3228	2077	456	332	363
B00G72P	10476	4492	5726	24020	16300	7720	1787	591691	545801	43637	50351	588432	515325	27339	45768	3259	2073	477	393	316
B00G731	10513	4501	5750	24007	16288	7719	1805	591649	545771	43614	50300	588354	516612	27093	44649	3295	2134	437	399	325
B00G72S	10538	4511	5765	24001	16278	7723	1353	592082	546166	43644	50398	588634	515369	27498	45767	3448	2232	500	373	343
B00G734	10450	4474	5714	23983	16260	7723	1767	591774	545879	43634	50375	588338	514483	26917	46938	3436	2211	528	376	321
B00G72R	10498	4514	5729	23981	16241	7740	1612	591883	545978	43643	50361	588635	515715	27060	45860	3248	2022	509	353	364
B00G733	10532	4516	5755	24022	16312	7710	1637	591783	545848	43649	50355	588476	514920	28175	45381	3307	2056	495	381	375
B00G736	10490	4507	5720	24006	16276	7730	1747	591731	545868	43609	50352	588487	515179	27457	45851	3244	2063	512	331	338
B00G72T	10488	4500	5723	24052	16323	7729	1536	591898	545985	43654	50356	588413	516194	27493	44726	3485	2283	508	356	338
B00G735	10503	4503	5734	24035	16321	7714	1541	591895	545967	43655	50384	588482	514840	27770	45872	3413	2124	572	391	326
B00G72W	10512	4510	5741	23971	16263	7708	1578	591913	545997	43643	50382	588570	515643	27941	44986	3343	2172	505	361	305
B00G738	10499	4495	5736	23923	16253	7670	1558	591994	546039	43675	50397	588593	514885	27326	46382	3401	2113	542	407	339
B00G72V	10525	4506	5756	23982	16293	7689	1490	591977	546046	43661	50364	588616	516750	26899	44967	3361	2142	502	396	321
B00FX00	10617	4574	5778	24177	16437	7740	1766	591414	545551	43568	50321	587875	514687	27566	45622	3539	2121	680	359	379
B00FX0P	10536	4532	5745	24061	16330	7731	1749	591628	545731	43617	50337	588143	515112	27488	45543	3485	2247	564	357	317
B00FX0S	10504	4499	5745	24238	16458	7780	1721	591511	545704	43546	50318	588075	515249	27512	45314	3436	2135	606	342	353
